sentence,label
"Make child care cheaper for Australian families so that it’s easier for parents to get ahead and to ensure children get the best start, and make sure older Australian's receive the aged care they deserve.",persuasive
"“Back in 1977, the Ranger Uranium Environmental Inquiry recommended the recognition of the land in the Alligator Rivers Region - what we know as stage one, Kakadu National Park - as Aboriginal land under the Aboriginal Land Rights (Northern Territory) Act 1976.",neutral
I believe in evidence-based policy change and innovative solutions to Queensland’s animal and environmental concerns.,neutral
"We're terrified they'll force them to danger after the election, just like they tried to in 2019.",persuasive
"Instead, we seek to invest our nation’s wealth in sustainable food systems and clean energy solutions.",persuasive
FNQ can't risk three more years of Scott Morrison.,persuasive
"Authorised by L. Cox, Animal Justice Party, Suite 13, Level 5, 35 Buckingham St, Surry Hills 2010",neutral
"This means there can only be four other route alternatives - Cypress Terrace, Townson Avenue, Mallawa Drive or using up the protected heavy rail corridor south of Varsity Lakes station.",neutral
Andrews does not think the rules apply to his government and they need to be voted out in November.,persuasive
Read Crikey's latest fact check.,neutral
"As Councillor, Mr. Zhu actively supported Willoughby’s recognition of the Armenian Genocide in 2015, which also calls upon the Federal Government to follow suit.",neutral
The election is 21 May!,neutral
Scott Morrison never fronts up.,persuasive
Add your name to the petition and demand Nike to step up and support the women who make their clothes!,persuasive
"An Albanese Labor Government will invest $5 million to build a new one-stop Veterans' Wellbeing Centre in the Tweed region, which will serve nearly 3000 veterans and their families who live on the southern Gold Coast.",neutral
"New Funding Secured I’m delivering $230,000 to The Gap Dragons JAFC for their new lighting.",neutral
Already the scheme is supporting jobs in the construction sector and assisting home buyers into their first home by allowing them to buy a property  with as little as five per cent deposit.,neutral
"Rebecca Lloyd - Independent SENATE Candidate for Qld (If you live in Qld, you CAN vote for me).",neutral
Donate now.,neutral
What of the focus and blame directed at Jews and Israel?,persuasive
We are already seeing the development of more locally-owned and operated Aboriginal tourism and other business enterprises in Kakadu.,persuasive
"This investment will deliver more home care places, more funding for aged care centres and increases in the amount of time that nurses and carers spend with residents.",neutral
Agree?,neutral
And we CAN do it.,persuasive
The average woman with children earns $2 Million less than the average man with children.,persuasive
We don't care and we would do it again.,persuasive
"- HOMEBUYERS: The Government's Home Guarantee Scheme is being extended with 50,000 places available per year.",neutral
"Labor Waste, you pay.",persuasive
They’ve nearly reached their crowdfunding goal.,persuasive
"Jonathan O'Dea MP, President of New South Wales Legislative Council - Hon.",neutral
"And no, I am not a Liberal or Labor in disguise.",neutral
We can’t risk more of the same.,persuasive
Read the full story:  https://truecrimenewsweekly.com/the-great-female-impersonator-the-forgotten-extraordinary-tale-of-pseudo-woman-gordon-lawrence-one-of-modern-australias-first-queer-folk-heroes/,neutral
🤔,persuasive
"https://www.robodebtclassaction.com.au/#:~:text=Key%20points%20of%20Robodebt%20Class%20Action&text=On%2016%20November%202020%2C%20the,to%20approximately%20430%2C000%20group%20members.",neutral
RESIGN NOW if you are a current sitting WRC Councillor that thinks that the WASTAGE of Federal or State funding Gifted to WRC is acceptable!,persuasive
They have sold our kid's economic future down the drain.,persuasive
Hi my name is Vanessa Kim and I'm a Director of Strathfield Partners.,neutral
Send Karen Andrews and her leader Scott Morrison a message this Saturday - Vote Labor for a better future.,neutral
Labor is on your side.,persuasive
"Natalie Ward, Member for Mulgoa - Ms. Tanya Davies, Member of the South Australian Legislative Council - the Hon.",neutral
My speech from the rally on Saturday.,neutral
You don't get more salt of the earth than locals on King Island.,persuasive
-2000 jobs to be created on the $940 million Milton/Ulladulla bypass.,neutral
Donate today!,neutral
"Yes, boot the Liberals out and get your Albo merch, just in time for #Election2022.",persuasive
"To counter this shift in industry, the Animal Justice Party will lead the transformation of Australian agriculture into an industry that is both profitable and sustainable.",persuasive
If you want to get involved in fighting for a sustainable future you can volunteer for the Greens here: https://greens.org.au/nsw/volunteer/federal/mitchell Authorised by D. Hayden for The Greens NSW.,persuasive
"We will work with today’s farmers to help farm our land responsibly with nature, and re-wild our country.",persuasive
We’re abandoning many on the edge of the NDIS – 4 million people live with a disability.,persuasive
We're rolling out a community-wide plan to hand out THOUSANDS of Climate Action Now signs across your electorate!,persuasive
Their spending promises would cost billions.,persuasive
Ensuring Australians have the skills they need to excel in their careers.,persuasive
"Mr Morrison's Ministers are still stopping Priya, Nades, Kopi and Tharni from coming safely home to Biloela, by keeping 4 year old Tharni in community detention.",persuasive
Only the Matthew Guy Liberals and Nationals will cut waste and take action to keep the cost of living down.,persuasive
My guarantee to you - I will never support the shut-down of native forestry.,persuasive
"To express your interest, please contact Cathrine on the details above.",neutral
"Please RSVP by one week prior, by contacting Cathrine at QPP on 07 3013 5555 or email info@qpp.org.au and we will get in touch.",neutral
"www.debleonard4monash.com.au  #localbusiness #covid19 #staffshortage Authorised by Deb Leonard, Level 1, 82 Thompson Ave, Cowes 3922",neutral
Vote to change the Government.,persuasive
I think she is the right person to represent us.,persuasive
The Government is delivering record investment in roads across Goulburn Mulwaree.,persuasive
"‍This will help assist the school for sporting events, open days other school events and with transporting food stock between multiple canteens across the campus.",persuasive
Today that has been fixed once and for all time.,persuasive
PRICE REVEAL | ‘Between Two Rocks Winery’ - Business & Freehold $3.85 million walk in walk out!,neutral
"This unique business opportunity is now ready for a new owner, providing endless opportunity.",persuasive
Backing jobs across Australia through our $120bn infrastructure pipeline over the next decade.,neutral
"Vote early, often and raise funds for flood relief.",persuasive
"CHAT ABOUT PAT: JOHN CASSEGRAIN For the past 3 years, I've worked closely with Cowper constituents to address the needs of our community.",neutral
Scott Morrison fails to lead when it matters.,persuasive
Vote 1 United Australia Party.,neutral
I have a Bachelor of Advanced Science and work in the water quality sector in North Queensland where I help mitigate downstream impacts on the Great Barrier Reef.,neutral
• A dysfunctional QLD Public Service Sector has failed to deal with Brunker.,persuasive
"Victor Dominello, Senator for New South Wales - Andrew Bragg, Member for Prospect - Dr. Hugh McDermott, Reverend Fred Nile MLC, Mayor of Ryde - Jerome Laxale, former President of the NSW Legislative Council - Amanda Fazio, the City of Ryde Councillor - Sarkis Yedelian, Senator for Victoria - Janet Rice, NSW Minister for Finance and Small Business - the Hon.",neutral
"This election, PUT ME 1ST and your party 2nd.",neutral
Why did Labor vote against legislation introduced by the Morrison Government to strengthen powers to remove visas of foreign nationals who commit serious crimes?,persuasive
Only a vote for Labor in both houses will protect Queensland from Scott Morrison.,persuasive
This week we’re opening Expressions of Interest for tunneling works as part of the Suburban Rail Loop.,neutral
"- Around 57,700 taxpayers in Gilmore will benefit from tax relief of up to $1,500 this year, made up of the $1,080 low and middle income tax offset and a $420 cost of living tax offset.",neutral
Share your abortion experience in this anonymous online survey.,neutral
The minimum should be $75.,neutral
For our democracy - and the well-being of our society.,persuasive
"Kristina Keneally, Bishop Robert Rabbat – President of the Australasian Middle East Christian Apostolic Churches and Eparchy of the Melkite Catholic Eparchy of Australia and New Zealand, Former Minister of Defence, the Hon.",neutral
“I can’t defend it and I’m outraged by it.”  and she’s not the first NSW Liberal MP to criticise Morrison.,persuasive
"After years of Labor waste and mismanagement on infrastructure spending, Victorians now face a Big Bill of a massive $24,000,000,000.",persuasive
But there is a solution.,neutral
"While the Liberal Government is supporting construction jobs, Labor has a plan to smash the industry by abolishing the construction watchdog and give a green light to CFMMEU thuggery and bullying.",persuasive
"Jagajaga, don’t risk Labor.",persuasive
"The Morrison government's new ‘CoalKeeper’ proposal shows once again that they'll prioritise coal over people  The plan will see millions of dollars of public funds that should be going to those struggling in lockdown given to coal burning power companies like AGL, increasing climate pollution and sending energy prices soaring.",persuasive
"For more information or to help us find better representation for Hume, go to:  https://www.voteangusout.com.au/ How Angus voted against protecting our fresh water:https://theyvoteforyou.org.au/people/representatives/hume/angus_taylor/policies/15 How he voted on Nuclear waste https://theyvoteforyou.org.au/people/representatives/hume/angus_taylor/policies/216 How he voted on plant and animal extinctions https://theyvoteforyou.org.au/people/representatives/hume/angus_taylor/policies/172",neutral
This project will upgrade the wall that marks Australian active service post WW2 and include the development of a QR code and website relating to the history of the memorial.,neutral
Taking advantage of one of our favourite Wodonga watering holes to grab a cool drink on a warm Tuesday afternoon catch-up with Wodonga Mayor Kev Poulton.,neutral
"I’m for climate leadership, integrity in government and a new economy where families and local businesses thrive.",persuasive
"Most recently, Mr. Zhu expressed his firm support when he voted in favour of a unanimous motion, which saw Willoughby City Council officially recognise the Republic of Artsakh while condemning Azerbaijan and Turkey for their aggression during the 2020 Artsakh War.",neutral
"This Saturday, millions of Aussies will head to the polls and decide the future of this nation once and for all.",persuasive
"According to their employment contract, being openly gay is a firable offence.",persuasive
Higher taxes?,persuasive
"The benefits to Group Members include the following elements The Commonwealth will pay $112 million in compensation to approximately 400,000 eligible individual Group Members, including legal costs; The Commonwealth is repaying more than $751 million in debts collected from Group Members invalidly and will continue to provide refunds; The Commonwealth has agreed to drop claims for repayment of approximately $744 million in invalid debts that had been partly paid back, as well as dropping claims for $268 million in invalid debts where no repayments had been made.",neutral
This time vote Greens for a future for all of us.,persuasive
And let's not forget  2016 Robert resigns from the Turnbull Ministry when an internal investigation proves he breached the ministerial code of conduct during his 2014 China trip for Nimrod Resources.,persuasive
Scott Morrison's cuts and neglect are hurting Flinders Island District School.,persuasive
“For too long there have been two classes of land in Kakadu National Park – Aboriginal land and other land ‘subject to Aboriginal land claim’.,persuasive
You can be the difference.,persuasive
I call on Karen Andrews to say before the election HOW her light route will get to the airport if it isn’t along the Gold Coast Highway.,neutral
money in “marginal seats” to try and win more seats in parliament.,persuasive
"During the COVID-19 lockdown, she delivered and listened to what they wanted.",neutral
"Joel Fitzgibbon, Dr. Sev Ozdowski - Director of Equity and Diversity, University of Western Sydney, the Chair of the House of Representatives Committee on Health, Aged Care & Sport - Trent Zimmerman MP, Dr. Panayiotis Diamadis - Member of the Australian Institute for Genocide and Holocaust Studies, the Chair of the Standing Committee on Infrastructure, Transport and Cities - John Alexander MP, Anglican Archbishop of Sydney - Glenn Davies and Chair of Joint Standing Committee on Migration - Julian Leeser MP, Dr.",neutral
Anthony Albanese is a weak leader.,persuasive
"Thank you on behalf of all Armenian-Australians, as well as Armenians from Artsakh and around the world, Mr. Brendon Zhu.",neutral
[SPECIAL REPORT] Is Australia leading the world out of the pandemic?,persuasive
Why Australia must not deliver Mad (Prime) Minister Morrison his second 'miracle' ~ Founder and publisher David Donovan,persuasive
Backing small businesses here in Makin.,neutral
"This is what the budget does for you in Gilmore   COST OF LIVING RELIEF:  - Reducing petrol excise by 22 cents per litre for 6 months, which will help the owners of around 100,000 passenger vehicles in Gilmore, a saving of up to $700 over 6 months.",neutral
"Mr. Zhu was also amongst the first to join the Australian Friends of Artsakh network and, through it, calls for the rights to self-determination for the indigenous Armenians of the Republic of Artsakh.",neutral
"Vote 1 - Column ‘H’  To read more about me and my partner Steve Dickson - QLD go to my website https://www.jointheconversation.net.au/senate/qld/rebecca-lloyd/ Written and Authorised by Rebecca Lloyd, Brisbane, Queensland.",neutral
"In Reid, we have many people of different cultures living here and we need a person who understands the background and culture.",persuasive
Labor have not costed their policies.,persuasive
The Animal Justice Party will stand up for our planet.,persuasive
"“I am not indigenous but I yearn for leaders who have cultural wisdom, knowledge and values” Alison, Chuffed donor People across the country have been chipping in to support the Indigenous Party of Australia to cover their campaign costs in the lead up to the Federal Election.",persuasive
"We will introduce legislation to remove subsidies on industries that damage our climate, not only animal agriculture, but also coal and gas.",persuasive
Great to see so many friends and family on the Island over the last couple of days,neutral
"Robert bankrolled two former staffers who stood as so-called ""independents"" in the Gold Coast City Council election to the tune of $60,000.",neutral
We have 6 weeks to get this government out.,persuasive
"Suite D, 263-279 Broadway, GLEBE NSW 2037.",neutral
The three alternate routes through Palm Beach would require hundreds of local homes to be resumed if chosen and as a result were categorically ruled out by the Palaszczuk Labor State Government in favour of the Gold Coast Highway corridor which involved the least disruption in comparison.,neutral
https://www.tmr.qld.gov.au/projects/coomera-park-n-ride-upgrade      2.,neutral
Under this plan we are   Creating another 1.3 million jobs - on top of the 1.2 million jobs we've already delivered.,neutral
"Under Labor’s plan, nurses and carers will get better pay, residents will get better food, and older Australians will get the care they deserve.",persuasive
In the eastern section of the SRL alone – 6 new underground stations.,neutral
Should Stuart stay or go?,persuasive
Go to 1 in 50 (https://1in50australia.org/) to find out more.,neutral
Training the next generation of apprentices.,persuasive
What is your verdict?,persuasive
"QPP and the team at HIV AIDS Legal Centre (HALC) are running a series of legal clinics and evenings, providing our community information about HIV and the Law in Queensland, and answering questions to those living with HIV with legal questions or issues.",neutral
Along with a raft of red-tape reduction policies.,neutral
"🤝Working with Mansfield State High School (MSHS) P&C, I have been able to deliver federal funding through the Stronger Communities program for the school to purchase a new golf cart!",persuasive
"After 14 years Councillors Clifford, Willcox & Collins failed to STOP  Councillor “Moscow” Mike Brunker!",persuasive
You can read more about Labor’s plans to bring back Australian manufacturing here → https://www.alp.org.au/policies/secure-australian-jobs,neutral
"- AGED CARE: This Budget continues a further record investment in aged care to help the 40,148 senior Australians living in Gilmore.",neutral
"Local campaign, local people chipping in.",persuasive
2 ads from the $11.5 million infrastructure campaign were also found to breach political advertising legislation.,persuasive
"- Together, with the recent pension increases, this will see the 28,250 pensioners in Gilmore receive more than $500 in additional support over the next 6 months, when they need it most.",neutral
"We have a serious seller; both the freehold & the business is ready to be sold in one line, walk-in-walk-out including wine in bottle, 2022 vintage in tank, all equipment & fixtures.",neutral
"Look at Aged Care and there are our elders, who we should be embracing and learning from but we've abandoned them to profit, and are leaving those who care for them out in the cold.",persuasive
"If you're new to the page, check this out.",neutral
Use your vote this election to raise the youth allowance and job seeker payment to $88/day.,persuasive
"Last week, I chatted to ABC Radio about the growing problems renters are facing when it comes to the spread of mould in homes across the state.",neutral
Photos: Glenn Campbell,neutral
$1.5 billion investment in our defence capability here in the Hunter  The Royal Australian Air Force (RAAF) is upgrading and extending in-service support for the Hawk 127 Lead-In Fighter Training System based in the Hunter region and Perth.,neutral
"We know that when people aren’t able to address mental health issues or see a dentist, it leads to strain on our healthcare systems, preventable illnesses down the road, and prevents them maintaining gainful employment.",persuasive
"Areas of law covered include Criminal, Immigration, Discrimination (on the grounds of HIV status or another attribute e.g.",neutral
"First elected in 2017 as one of the youngest councillors of his municipality, Mr. Zhu earned a reputation for bringing fresh ideas to the 152-year institution.",neutral
Read the report now.,persuasive
"In ten years, will we be saying sorry for this too?",persuasive
"Welcome to #FRIENDSFRIDAYS, our social media series introducing you all to the Australian Friends of Artsakh network of prominent Australians who support the right to self-determination of the Republic of Artsakh.",neutral
To read more about the state of the NBN in Maleny check out this article in The Guardian  https://www.theguardian.com/technology/2022/may/08/they-will-do-nothing-to-fix-it-why-the-nbn-still-matters-to-many-voters,neutral
Dates and details for these sessions will be available soon.,neutral
"I will fight for increased local training be it  schooling, TAFE or University places.",persuasive
Show Citipointe that LGBTQIA+ people are loved for exactly who they are .,persuasive
"At a ceremony held at Cooinda on Thursday 24 March 2022, Minister Wyatt handed back to Traditional Owners and their families the inalienable freehold title over four land claim areas comprising about 50 per cent of the Park.",persuasive
"Since Scott Morrison called the election, his government has given away more than $500 million of taxpayer money to polluting fossil fuel companies.",persuasive
#BREAKING Labor has won the South Australian state election.,neutral
"It’ll see the development of a nature-based play space and public toilet amenities, improving the Reserve as a destination.",persuasive
The AWU wants to make sure voters across the nation are aware of Clive Palmers disastrous record.,persuasive
A champion dairy farmer who is still sharp as a tack at 93.,neutral
"We will take the lead in investing in farming communities, to transition towards plant-based farming enterprises that are healthier for animals, people, and the planet.",persuasive
"https://independentaustralia.net/politics/politics-display/stuart-roberts-litany-of-transgressions,12001 I have managed a lot of people in my career and if this was the performance of my employee I would be showing them the door.",neutral
Australian Labor Party,neutral
- research from Everybody's Home Australia.,neutral
Creating up to 8000 jobs during construction.,persuasive
This hub will be a family friendly space and bring critical services together under the one roof.,neutral
Morrison must go.,persuasive
Now this…,neutral
"You can hear the disbelief in Sarah's voice that no grounds evictions are indeed a real thing that happen in New South Wales, as many of you can attest to!",persuasive
"Vote for kids, not cuts.",persuasive
"And with 80% of our fundraising target now achieved, we're well on the way to #VoteAngusOut If you would like to join our movement, like the 1000 who have already signed up, bought a t-shirt, stubby cooler, or made a donation, you can do so here.",neutral
- CLEAN ENERGY: The Government remains committed to reducing emissions.,neutral
This is who Scott Morrison wants in the Liberal party room!?,persuasive
I will be a strong voice for all of these forgotten issues.,persuasive
"Dr Miranda Ruiz could face up to 10 years in prison for a crime she did not commit  Miranda provided her patient with access to a legal and safe abortion, as requested.",persuasive
Let’s keep it rolling.,persuasive
Join us at the Boothby Together We CAN (Climate Action Now) campaign kick-off on April 10 at the Ascot Park Bowling Club.,persuasive
Penny Ackery for Hume,neutral
"John Ajaka, NSW Minister for Customer Services - Hon.",neutral
"Eric Abetz, Former Senator and Leader of The Australian Greens - Dr. Richard Di Natale, Antiochian Archdiocese of Australia - Archbishop Basilios Kodseie, Josh Burns MP, Former Leader NSW Liberal Party - The Hon.",neutral
"MORE BROADLY: record funding for schools, hospitals, Medicare, mental health, aged care, flexible paid parental leave, women’s safety and disability support.",neutral
BOTH Councillors Clifford & Brunker NOW want to become Mayor of WRC !,persuasive
That’s why an Albanese Labor Government has a plan for North West Sydney roads.,persuasive
"Fiscal responsibility is government budget setting designed to promote strong, sustainable economic and employment growth that does not rack up high public debt for future generations.",neutral
The prime minister's appearance last night on the ABC's 7.30 proved the promise of a new Morrison is just smoke and mirrors.,persuasive
#saparli #savotes #auspol,neutral
This should concern us from both a compassionate and economic perspective.,persuasive
She is now being investigated by authorities even though abortions are legal in Argentina.,persuasive
No one can say for sure what will happen but what you can be sure of is a vote for One Nation is the best way to ensure there is someone in parliament who will be able to clean up the mess and hold the Government to account.,persuasive
Our plan  greens.org.au/platform How we'll pay for it  greens.org.au/tax-billionaires,persuasive
Only the Morrison Government will secure local jobs at Nyrstar.,persuasive
Labor are out to $1.80!,neutral
"This mobile phone footage shows how guards separated Biloela mum Priya from her little girls, before physically dragging her onto an unmarked plane.",persuasive
Get the facts on our Biloela family: https://www.hometobilo.com/facts,neutral
The highlight of the first full day of the Dulux Australia Study Tour was a stay at krakani lumi.,neutral
We are witnessing the abandonment of the most vulnerable people in our community.,persuasive
"There is already increased demand on the mental health workforce, but we will encourage more psychs to enter the sector by fee-free education through universities & TAFE, expansion of peer worker programmes, and specialised mental health training for medical students and GPs.",neutral
"There will be wonderful opportunities for cultural revitalisation and to celebrate the living cultural traditions of the traditional owners,” said Mr Bush-Blanasi.",persuasive
We say this man doesn't represent us.,persuasive
"Research released this week shows ""the average person on Youth Allowance would have to pay 92 per cent of their income on renting a single room in Canberra and 83 per cent in Sydney.""",persuasive
An Albanese Labor Government will build Australia’s sovereign capability by building things right here in Tasmania.,persuasive
Don't risk it.,persuasive
What is really happening and why?,persuasive
Essential workers were there when we needed them through the pandemic.,persuasive
Len Sullivan here is a legend of King Island.,persuasive
ARC has an Airport and a University.,neutral
Investigative Journalism in the Hawkesbury Hawkesbury Matters is not aligned with any political party or Independents.,neutral
"Supported by the Government's policies, 24,400 rooftop solar panels have been installed in Gilmore.",neutral
Does Labor offer a better deal?,persuasive
Each of the Liberal government’s policies has undergone detailed costing.,neutral
A Royal Commission into the QLD Public Service now getting closer despite an inept QLD LNP.,persuasive
"This investment will ensure that the Onkaparinga River and southern creeks become a place of pride for our community to walk, ride their bike and go on picnics with their families in natural spaces - as well as restoring precious habitat and protecting our environment.",persuasive
"When our population grows, it becomes more profitable to destroy our ancient, fragile bush and turn it into new suburbs.",persuasive
Queenslanders can't afford 3 more years of the LNP.,persuasive
"You may have to hold your nose as you vote, but you won't have to hold a hose and you can certainly hold a rose!",neutral
It's a common scheme.,neutral
"Which means new taxes, higher taxes and an increased cost of living.",persuasive
I know I’ve been running one for the past 12yrs.,neutral
"Congratulations to Brookfield Show Society President Cath Fullerton, the management committee, all stewards, volunteers, sponsors and the many community organisations who have all contributed to an outstanding 2022 Brookfield Show.",neutral
"We talked with Amelia Borg, Kushagra Jhurani and Peter Elliott about how to get a job.",neutral
"In 1976, a small group wanted to protect the Franklin River from being dammed.",neutral
Australian women are being financially penalised for having children.,persuasive
Utilise your project management skills to develop and implement business processes within the Truth and Justice Response Unit.,neutral
This time they’re targeting teachers.,persuasive
Early architectural professionals are often guided by a practice’s development guidelines.,neutral
https://www.voteangusout.com.au/ Factcheck How Angus voted on the vaccine rollout https://theyvoteforyou.org.au/people/representatives/hume/angus_taylor/policies/264,neutral
I will also implement a national register for perpetrators of violence against women and animal abusers.,neutral
"On 16 November 2020, the scheduled first day of trial, the Representative Applicants and the Commonwealth agreed a settlement.",neutral
"Independent Rex Patrick brings back jobs to SA, fights corruption and represents South Australia’s best interests.",persuasive
Vote 1 Kay Nankervis for Calare and The Greens for the Senate.,neutral
REMEMBER TO VOTE FOR THE FREEDOM PARTIES FIRST Pauline Hanson’s One Nation  Liberal Democrats  United Australia Party You own you vote and preference.,persuasive
"He has also been well-informed of the issues of importance to the Armenian-Australian community, who are well-represented in Willoughby.",neutral
Ms Andrews is hiding her policy from residents on the future light rail route until after the election and is not treating local residents with any respect whatsoever.,neutral
"More dams, water projects and better mobile phone service: for more go to liberal.org.au/budget  KEY FACTS  - Unemployment rate of 4% is the lowest since 1974.",neutral
"Floods, vaccines, bushfires, RATs - Scott Morrison has failed Queenslanders every time.",persuasive
FACT: Murrumbidgee hospital funding has increased 303% under the Liberal Government.,persuasive
"{Share and spread the word} We have so far presented Australia’s Minister for Communications, Cyber Security & The Arts, the Hon.",neutral
"These information sessions are free, but numbers are limited and will book out.",neutral
"As the cost of living increases, Australians shouldn’t have to choose between medicines and other essentials like food.",persuasive
We must urgently develop and enact an effective climate action plan.,neutral
"By leaving these out, millions of Australians who are feeling the cost of living pinch are having to choose between rent and food, unable to take care of their health.",persuasive
- Economic growth forecast to hit 3.5%.,neutral
"Damien Tudehope, NSW Minister for Sport, Multiculturalism, Seniors and Veterans - the Hon.",neutral
I have never heard my opponent once speak about costings for Labor's policies.,persuasive
Lend your support so that essential retail workers get the essential pay rise they deserve on July 1st.,persuasive
Let's work together and achieve a historic victory.,persuasive
"The NSW government has announced that the spectacular forests of Ganguddy-Kelgoola—on the doorstep of Wollemi National Park, will make way for coal.",persuasive
Work is well and truly underway at the new $60m Alliance Airlines maintenance facility are Rocky Airport.,neutral
"To be fiscally responsible, you need costings.",neutral
I’ll advocate for targeted business support for those still doing it tough.,persuasive
"Start your career in law enforcement, security and Court support services",neutral
Anthony Albanese doesn't know basic facts about our economy.,persuasive
"Australia is already growing warmer, experiencing changes in rainfall, catastrophic bushfires, record flooding and witnessing rising sea levels.",persuasive
Let’s Rethink a Big Australia.,persuasive
"Read the full plan here: https://greens.org.au/platform/health#mental-health For a more compassionate Australia, it’s time to Vote [1] Greens!",neutral
It's time to bench the Hawke Stench in Mitchell.,persuasive
"krakani lumi | Traditional Land Owners: the Pyemmairrener People | Taylor and Hinds Architects | Photographer: Peter Wood, Sam McQueeney | Writer: Tahnee Sullivan Thanks to the study tour sponsor, Dulux Australia",neutral
I am very pleased to announce that under an Albanese Labor Government we will commit $5 million to revitalise the Onkaparinga River and its tributaries.,neutral
"Job security has gone down, housing costs  have increased significantly.",persuasive
Proudly Local.,neutral
"- Lower taxes: The Government's Tax Plan has already benefited 60,800 in Gilmore.",neutral
So who is pulling his strings?,persuasive
The Liberals doubled the debt and blew the budget before the pandemic began.,persuasive
Do you want a job or go on to welfare?,neutral
"The pandemic has been so tough for everyone, and even as we come out the other side, there are mental health impacts that could last generations.",persuasive
"In many aspects our young people have it harder today, than some decades ago.",persuasive
"- NDIS: record funding for the 3,547 participants in Gilmore.",neutral
"No grounds evictions simply have to end, and we need to make being damp and mould-free an essential criteria for habitability.",persuasive
"Daniel Andrews is blowing the budget left, right and centre, but he says he’ll never build East-West Link.",persuasive
HOOD FCPA 154089/1977  COMPANY & FORENSIC AUDITOR (ASIC) 13639/1978 TAX AGENT 32907001/1977 .,neutral
Anthony Albanese and Labor tell lies because they have no economic plan.,persuasive
"- MEDICINES: In the last year the Government has funded 2,680,110 free or subsidised medicines in Gilmore through the Pharmaceutical Benefits Scheme.",neutral
"My allegiances are with no one, but all of us, collectively.",persuasive
The choice is clear.,persuasive
#ChangeAgedCare,neutral
"Finally, the Animal Justice Party will fight for a commitment to system-wide change from the government.",persuasive
"In an effort to encourage better regional medical services, One Nation will introduce three-year contracts for newly qualified medical professionals and in return pay their HECS-HELP loans in full.",persuasive
The wellbeing of our community is of upmost importance.,persuasive
"Hosted by the Maritime Union of Australia SNSW Branch with special guests, Kristy McBain, Labor's Candidate for Eden-Monaro, and Mich-Elle Myers, MUA Officer and Vice President of the Australian Labor Party.",neutral
during the bushfires Gladys Berejiklian said “lives are at stake today and he is just obsessed with petty political point scoring”  #auspol #auspolmemes #nswfloods #nswpol,persuasive
It can be done.,neutral
This include FTB exemptions and up to $150k per year instant asset write offs.,neutral
This is part of Labor's plan to build a better future for the Central Coast.,persuasive
"Additionally, Mr. Zhu has attended several events organised by the Armenian National Committee of Australia including the organisation’s Annual Gala and the National Commemoration of the Armenian Genocide.",neutral
