id,line,text,labels
779394730,24,"you know what , guy ? thank , but no thank . you can take your ' church of accompaniment "" to prison with you . i would soon let my kid be accompany by fan of the oakland raiders than turn they over to you ... mean no disrespect to fan of the oakland raiders , of course . # stopthesynod","Doubt,Loaded_Language,Name_Calling-Labeling"
999000565,4,it do not take much to trigger these people .,Loaded_Language
999000565,6,"watch this leftist loon pour her beverage on fsu republicans as she state they be "" normalize and enable nazi "" by support rick scott and ron desantis .",Appeal_to_Fear-Prejudice
999000565,7,"watch : angry leftist pour her beverage on fsu republicans and say they be "" normalize and enable nazi "" by support rick scott and ron desantis . pic.twitter.com/1udrxszxe1 — kyle morris ( @realkylemorris ) november 1 , 2018",Appeal_to_Fear-Prejudice
722507879,8,"accord to the indictment , begin at least as early as 2009 and continue until october 2014 , lambert conspire with other at "" transportation corporation a "" to make corrupt and fraudulent bribery and kickback payment to offshore bank account associate with shell company , at the direction of , and for the benefit of , a russian official , vadim mikerin , in order to secure improper business advantage and obtain and retain business with tenex . – doj",Loaded_Language
722507879,11,"prior to his 26 year tenure in the transportation industry – 20 of which have be with tli , mr. lambert be an arabic linguist for the navy for five year , and a senior intel analyst for the department of defense ( dod ) for three year .",Red_Herring
722507879,12,"lambert also speak fluent arabic and farsi ( persian ) , along with french and italian .",Red_Herring
722507879,14,""" the russians be compromise american contractor in the nuclear industry with kickback and extortion threat , all of which raise legitimate national security concern . and none of that evidence got air before the obama administration make those decision , "" a person who work on the case tell the hill , speak on condition of anonymity for fear of retribution by u.s. or russian official . """,Flag_Waving
722507879,17,"the informant – out as energy consultant william campbell – be "" threaten "" by obama admin ag loretta lynch to keep quiet with an iron - clothe gag order , accord to his attorney – former reagan justice dept . official and former chief counsel to the senate intelligence committee victoria toensing . after senate judiciary committee chairman chuck grassley ( r - va ) demand campbell be allow to testify in front of congress , the gag order be lift .","Appeal_to_Fear-Prejudice,Red_Herring"
770956434,5,"today , president donald j. trump sign executive grants of clemency ( full pardons ) for dwight lincoln hammond , jr. , and his son , steven hammond . the hammonds be multi - generation cattle rancher in oregon imprison in connection with a fire that leak onto a small portion of neighbor public grazing land . the evidence at trial regard the hammonds ' responsibility for the fire be conflict , and the jury acquit they on most of the charge . take our poll - story continue below will brett kavanaugh be confirm to the supreme court ? will brett kavanaugh be confirm to the supreme court ?",Exaggeration-Minimisation
770956434,8,"name this field be for validation purpose and should be leave unchanged . complete this poll grant you access to freedom outpost update free of charge . you may opt out at anytime . you also agree to this site 's privacy policy and terms of use . at the hammonds ’ original sentencing , the judge note that they be respect in the community and that impose the mandatory minimum , 5 - year prison sentence would "" shock the conscience "" and be "" grossly disproportionate to the severity "" of their conduct . as a result , the judge impose significantly less sentence . the previous administration , however , file an overzealous appeal that result in the hammonds be sentence to five year in prison . this be unjust . dwight hammond be now 76 year old and have serve approximately three year in prison . steven hammond be 49 and have serve approximately four year in prison . they have also pay $ 400,000 to the united states to settle a related civil suit . the hammond be devoted family man , respected contributor to their local community , and have widespread support from their neighbor , local law enforcement , and farmer and rancher across the west . justice be overdue for dwight and steven hammond , both of whom be entirely deserving of these grants of executive clemency .","Loaded_Language,Name_Calling-Labeling"
770956434,11,"it should be note that the protest that take place in oregon a couple of year ago be a response to the injustice the hammonds face . as a result , robert "" lavoy "" finicum be kill by oregon state police .",Loaded_Language
770956434,12,"those who lead the protest be all acquit of all charge and reporter pete santilli have all of his charge dismiss . no doubt , finicum would have be find not guilty as well , but that be not how tyrant work , be it ?",Name_Calling-Labeling
694356862,3,"despite israel 's repeat warning , barack obama 's reckless appeasement of the iranian regime have enable its rise as a hegemonic threat in the middle east region as well as a threat to international peace and security . in 2009 , obama turn his back on million of dissident in the street of tehran and other iranian city , who be peacefully protest the rig election of mahmoud ahmadinejad as president . in 2011 , obama precipitously remove the remain u.s. combat troop from iraq , give rise to isis ’s re - emergence in iraq from its basis in syria . the radical shiite iranian regime purport to come to the "" rescue "" of both country from the sunni terrorist , turn iraq into a virtual vassal state of the large state sponsor of terrorism in the process . obama 's disastrous nuclear deal with iran legitimize iran 's path to eventually become a nuclear - armed state , while immediately fill its coffer with billion of dollar to fund its aggression .","Causal_Oversimplification,Exaggeration-Minimisation,Loaded_Language"
694356862,5,""" everything depend now on the americans ’ willingness to stop this , "" say an iraqi kurdish official who be quote in a new yorker article . however , u.s.-led coalition force apparently have do next to nothing to stop this major advance in iran ’s shiite crescent expansion . "" obama run down our option in syria so thoroughly , by the time this administration take over , "" say andrew tabler , senior fellow at the washington institute for near east policy . "" the iranian influence be spread because they be so heavily involved in regime activity , "" tabler add . "" it ’ a new monster . """,Loaded_Language
694356862,6,"furthermore , iran have fund and arm its terrorist proxy hezbollah , which have send its militia from its home base of lebanon to fight alongside assad 's force . and iran have use syria as a transit point for shipment of sophisticated rocket to hezbollah in lebanon for future use against israeli population center . despite the fact that hezbollah have american blood on its hand , the u.s.-led coalition have choose not to do anything about hezbollah ’s presence in syria , buy and pay for by iran .",Flag_Waving
694356862,9,"at least , israel have a more sympathetic ear in the trump administration than it do in the obama administration for raise its concern about iran ’s grow threat , not only to israel but to u.s. interest in the region and beyond . president trump ’s sharp denunciation of the iranian regime during his address to the un general assembly represent a welcome departure from the obama administration ’s milquetoast approach to iran .",Loaded_Language
694356862,10,"as the u.s.-led coalition continue to drive isis from its basis of operation in syria , the trump administration have proclaim its intention not to allow iran to turn syria into its own satellite , as iran have essentially do in iraq . national security adviser h.r. mcmaster say that the "" so call liberation of area by assad ’s force and iranian proxy could actually accelerate the cycle of violence and perpetuate conflict rather than get we to a sustainable outcome . "" he claim that the trump administration ’s "" objective be to weaken iranian influence across the region broadly , "" without discuss the mean to accomplish those objective .",Appeal_to_Fear-Prejudice
694356862,11,"whether the trump administration follow through remain to be see . in the meantime , israel will have to deal with the fallout of iran ’s ambition in syria itself .",Doubt
762147609,5,"barack obama spend considerable time sell the american people on the idea of a cooperative iran — all the while cut quiet deal , behind closed door , with the rogue nation .","Flag_Waving,Name_Calling-Labeling"
762147609,12,"the obama administration — despite repeatedly assure congress that iran would remain bar from the u.s. financial system — secretly mobilize to give tehran access to american bank to convert the windfall of cash it receive from sanction relief under the 2015 nuclear deal into dollar , an investigative report by the senate have reveal .",Exaggeration-Minimisation
762147609,14,"the document , compile by the senate ’s republican - lead chief investigative subcommittee , begin circulate tuesday , just as the trump administration issue its harsh warning to date to foreign government and company to avoid do business with iran or find themselves in the crosshair of washington ’s reimposition of sanction as part of mr. trump ’s withdrawal from the nuclear deal .",Name_Calling-Labeling
762147609,15,""" company do business in iran face substantial risk , and those risk be even great as we reimpose nuclear - relate sanction , "" say sigal mandelker , treasury department undersecretary for terrorism and financial intelligence .",Appeal_to_Fear-Prejudice
762147609,18,she issue the warning in a speech at the foundation for defense of democracies think tank as iran announce tuesday that it be formally move ahead with preparation to increase its nuclear enrichment capacity — the sharp response to date by the islamic republic to mr. trump ’s pullout from the nuclear accord .,Repetition
762147609,20,"the president send shock wave around the world with his may 8 decision to withdraw from the iran nuclear pact and begin reimpose u.s. sanction , which the u.s. , europe , china and russia have collectively lift in 2015 in exchange for iran ’s promise to curb its suspect nuclear program and allow international inspection .",Loaded_Language
762147609,21,"while iran tell the u.n. nuclear watchdog agency on tuesday that it plan only to increase enrichment within limit set by 2015 deal , the announcement come with threat from a top iranian official that the activity could be quickly expand . the warning put fresh pressure on european leader to keep the nuclear accord alive despite mr. trump ’s withdrawal .","Appeal_to_Fear-Prejudice,Repetition"
762147609,22,"the head of iran ’s nuclear agency , ali akbar salehi , say tehran be prepared to dramatically increase its capacity for enrichment but that the work so far be limit to build a facility for assemble the centrifuge . he make the comment a day after iran ’s supreme leader , ayatollah ali khamenei , order the increase in capacity and vow that iran would preserve its nuclear program despite the u.s. withdrawal from the 2015 accord .",Loaded_Language
762147609,38,"mr. portman say in a statement tuesday night that "" the obama administration mislead the american people and congress because they be desperate to get a deal with iran . """,Flag_Waving
776373795,3,"washington — president donald trump call on attorney general jeff sessions to "" stop this rigged witch hunt right now , "" open the president to further complaint that he be try to obstruct the investigation into russia ’s election interference and his campaign ’s possible complicity .",Name_Calling-Labeling
776373795,4,"trump be already reportedly under investigation for potential obstruction of the russia probe lead by special counsel robert s. mueller iii . the tweet early wednesday be the president ’s most explicit post or statement to date seemingly aim at get his attorney general , the nation ’s top law enforcement officer , to end the probe",Exaggeration-Minimisation
776373795,5,"the tweet , along with several other wednesday morning , accelerate the president ’s attack on the investigation , which he claim be taint by bias . they be likely prompt by the start of the trial on tuesday of paul manafort , trump ’s former campaign chairman , on 18 charge of tax evasion , bank fraud and conspiracy .",Loaded_Language
776373795,6,""" this be a terrible situation and attorney general jeff sessions should stop this rigged witch hunt right now , before it continue to stain our country any far . bob mueller be totally conflicted , and his 17 angry democrats that be do his dirty work be a disgrace to usa ! "" trump write .","Doubt,Flag_Waving,Loaded_Language,Name_Calling-Labeling"
776373795,7,"the president suggest in a subsequent tweet that manafort be be treat bad than al capone , the notorious prohibition - era chicago gangster .",Exaggeration-Minimisation
776373795,9,"trump ’s tweet prompt rep. adam b. schiff of california , the top democrat on the house intelligence committee , to accuse the president of obstruction "" hide in plain sight . """,Loaded_Language
776373795,10,""" the president of the united states just call on his attorney general to put an end to an investigation in which the president , his family and campaign may be implicate , "" schiff tweet . "" this be an attempt to obstruct justice hide in plain sight . america must never accept it . ""","Flag_Waving,Loaded_Language"
776373795,15,"giuliani add , "" i ’ve look at all those tweet and they do not amount to anything . """,Appeal_to_Authority
776373795,18,"wednesday ’s tweet be a reminder of trump ’s unabated anger at sessions , who recuse himself from oversee the russia investigation on march 2 , 2017 — as member of both party and legal expert have contend that he should .",Loaded_Language
776373795,19,"session point to justice department regulation to explain that , as one of trump ’s early and most active supporter , he should not participate in the investigation of the trump campaign . he announce the decision after controversy over his own undisclosed contact , both during the campaign and the post - election transition , with the russian ambassador at the time , sergey kislyak .",Name_Calling-Labeling
776373795,20,"two month ago , trump tweet that he should have choose a different person as attorney general who would not have need to recuse himself . "" i wish i do ! "" he write .",Doubt
776373795,21,"in his tweet , trump also quote criticism of the investigation from alan dershowitz , a harvard law school professor who frequently defend trump on television . in an interview with the los angeles times , dershowitz say he do not believe sessions have the authority to end the probe .",Appeal_to_Authority
776373795,22,""" you can not be both recuse and make decision about the investigation , "" he say .",Appeal_to_Authority
776373795,25,"stephen vladeck , a university of texas law professor , agree that sessions can not stop the russia investigation give that he recuse himself . "" the president , intentionally or not , be misdirect his ire , "" vladeck say .",Loaded_Language
999001226,3,"why she be not fire a long time ago be beyond anyone 's ability to answer , but broward county election supervisor brenda snipes have resign amid what be clearly voter fraud that she oversee . however , that should not be good enough for the people of broward county nor the state of florida . charge must be make and her arrest should be imminent .",Doubt
999001226,5,"just hour after finish a tumultuous election recount , broward supervisor of elections brenda snipes submit her resignation , end a 15 - year tenure full of botch election , legal dispute and blister criticism . take our poll - story continue below should jim acosta have get his press pass back ? should jim acosta have get his press pass back ?",Loaded_Language
999001226,8,"comment this field be for validation purpose and should be leave unchanged . complete this poll grant you access to freedom outpost update free of charge . you may opt out at anytime . you also agree to this site 's privacy policy and terms of use . "" it be true . she do send it , "" say burnadette norris - weeks , an attorney who work as counsel to the supervisor of elections office . evelyn perez - verdia , a former office spokeswoman who leave several year ago , say sunday evening she be tell by people in the office that the letter be send "" to tallahassee "" early in the day . norris - weeks say she see an early draft of the letter . in the version she see , she say snipes , 75 , express a desire to spend more time with her family . in the final version of the resignation letter , send to gov. rick scott , snipes say it be her "" passion and honor "" to have serve in the office . "" i be ready to pass the torch , "" she write in the letter , which make no mention of controversy surround the 2018 election .",Loaded_Language
999001226,9,"by the way , she miss her deadline .",Conversation_Killer
999001226,11,she should be ready for prison bar after the fiasco she have create .,"Exaggeration-Minimisation,Loaded_Language"
999001226,14,"three statewide race in florida be head to a recount and all depend on result from a county whose supervisor of election have a history of lose ballot and break law by allow illegal immigrant and felon to vote , as well as illegally destroy ballot .",Flag_Waving
999001226,18,"no evidence of fraud in # floridaelection ? dem get voter to use alter form to fix & submit as many mail ballot as possible after fl deadline in hope that a judge would later order state to count they . today that ’ exactly what a federal judge do . https://t.co/mc4tlvy9gi — marco rubio ( @marcorubio ) november 15 , 2018",Doubt
999001226,24,"she ignore a court order , mix invalid provisional ballot in with valid one , and destroy ballot , but do not worry , a democrat attorney say that do so have nothing to do with fraud or corruption .",Doubt
999001226,25,"now that federal prosecutor have get involve , perhaps it be time to quit talk about it and actually arrest this woman and charge she with crime against the people of broward county before more people end up dead in broward county over their corrupt voting practice .",Flag_Waving
727174208,3,"an arizona man who sell ammunition to the gunman in the deadly mass shooting in modern u.s. history be disturb that he do not spot any suspicious sign about his one - time customer , the man 's lawyer say wednesday .",Exaggeration-Minimisation
727174208,12,""" he be as connect ( to paddock ) as the guy who sell he a hamburger for lunch , "" victor say .",Exaggeration-Minimisation
730573740,1,cardinal müller : bless homosexual couple would be an ' atrocity ',Loaded_Language
730573740,6,"in remark after his address , report by the german catholic newspaper die tagespost , the cardinal make it clear what he think about the recently present german idea of bless homosexual union , even if only in individual case : "" if a priest bless a homosexual couple , then this be an atrocity at a holy site , namely , to approve of something that god do not approve of . ""","Appeal_to_Authority,False_Dilemma-No_Choice,Loaded_Language"
730573740,7,"accord to the tagespost report , cardinal müller say in his address that he regret the separation of the church 's doctrinal and moral teaching and call christianity a "" theocentric humanism . "" he say the "" submissive change of the church into a ngo for the embetterment of the this - worldly life condition "" be a "" suicidal modernization "" that deny mankind the truth of god . in this context , the german cardinal also criticize martin luther 's own denial of man 's free will and his teaching about the total depravity of man that separate morality from the relationship with god . morality , müller explain , be root in grace ; that be why any teaching about "" rule and exception "" ignore the character of the ethic of the covenant and of grace .","Loaded_Language,Name_Calling-Labeling"
730573740,8,"in the discussion follow his talk , cardinal müller also respond to question concern pope francis ' post - synodal exhortation , amoris laetitia . the cardinal say that he be "" not happy "" about the fact that there be different interpretation of this papal text by some bishop ' conference . "" in dogmatic question , there can not be a plurality , "" he add . there be only one magisterium , he say , and bishop ' conference can only decide about pastoral question . contradictory conception concern the sacraments , say the cardinal , lead into chaotic condition .",False_Dilemma-No_Choice
730573740,9,"thus , explain the cardinal , the sacraments have to be celebrate the way christ himself will it when he institute they . the controversial eighth chapter of amoris laetitia have to be understand "" in an orthodox way , "" namely that "" he who live in the state of mortal sin can not receive holy communion . "" it be , in müller 's eye , the pope 's duty "" to unite the church , that be what the pope be there for . "" this be what he , müller , himself tell the pope : when the bishop ' conference present different interpretation of amoris laetitia , the church enter "" into a situation like the one before the reformation . ""","Appeal_to_Authority,False_Dilemma-No_Choice"
730573740,11,"professor livio melina , the former president of the pontifical john paul ii institute for studies on marriage and the family , be another speaker at the february 6 conference . he stress that amoris laetitia have to be "" read in the context of the magisterial instruction of the encyclical veritatis splendor , which recall the connection between conscience and truth , as well as the necessity of a well - form conscience . "" in return to that encyclical , explain the italian professor and theologian , amoris laetitia could be give a hermeneutic in light of a "" continuity with the magisterium of the church . "" he also say : "" the commandments be an expression of the love of god for we . if we fulfill they , we be united with god . """,False_Dilemma-No_Choice
787668628,1,"democrats want we to believe all woman … unless they ’re accuse keith ellison , bill clinton , al franken or george soros",False_Dilemma-No_Choice
787668628,3,"the democrats have call upon the senate to postpone the vote on kavanaugh . establishment republicans be race for the exit . but over what ? an unprovable accusation from decade ago that the accuser say nothing about until year later , and that be uncorroborated by any other testimony or by the evidence of any similar behavior on kavanaugh ’s part . this be clearly a set - up ( christine ford be also a far - left democrat operative ) design to derail the nomination of a good man . there be no low to which the democrats will not sink to attain their nefarious goal of stop the president from strengthen america and protect americans .","Causal_Oversimplification,Flag_Waving,Loaded_Language,Name_Calling-Labeling"
787668628,10,"do not count i among those who would minimize this allege assault . i go to a high school that have more than its share of drunken party , and my classmate could do crazy and stupid thing , but an act like this be beyond the pale . this be not "" boy will be boy . "" action have consequence , and it ’ hardly unjust to tell a person that if he mistreat another human be like this — even a long time ago — he have to remain "" merely "" a judge on the d.c. circuit court of appeals .",Slogans
787668628,13,"give the totality of the evidence , i believe it be more likely than not that bill clinton commit rape and sexual harassment . i believe it be more likely than not that donald trump have commit sexual assault . i believe it be more likely than not that roy moore engage in sexual misconduct with underage girl . but the evidence against kavanaugh fall far short of the evidence array against each of these man . so far at least it fall far short of the evidence against virtually any other politician or celebrity who have face consequence during this # metoo moment . here ’ why :",Exaggeration-Minimisation
787668628,17,"those be important discrepancy , and if six year ago she tell the therapist four man and say two man now , that suggest that her memory of the event may be suspect .",Doubt
787668628,18,"as a former trial lawyer , i can tell you that while neither note nor memory be infallible , in a contest between contemporaneous note and later verbal testimony about those note , the content of the write note usually prevail . jury be extremely skeptical of witness who contradict write note — after all , the note be take when the word be immediate and there be not the overwhelming pressure of a trial to conform your testimony to the desire outcome .","Appeal_to_Authority,Loaded_Language"
787668628,20,"yet give all the year that have pass , would it be possible to find anyone who remember be at that party ? would they remember any detail at all ? if someone see kavanaugh stumble drunk at the party , that would obviously bolster ford ’s account . if another attendee say , "" he be totally sober and with i the whole time , "" that help kavanaugh . but the odd of get detail that precise be long indeed , and there be always a chance that a motivated classmate might lie — for either person … .",Loaded_Language
765385479,3,the persecution of julian assange must end . or it will end in tragedy .,Appeal_to_Fear-Prejudice
765385479,5,"they can remain silent , for which history will be unforgiving . or they can act in the interest of justice and humanity and bring this remarkable australian citizen home .","Appeal_to_Fear-Prejudice,Flag_Waving"
765385479,6,"assange do not ask for special treatment . the government have clear diplomatic and moral obligation to protect australian citizen abroad from gross injustice : in julian ’s case , from a gross miscarriage of justice and the extreme danger that await he should he walk out of the ecuadorean embassy in london unprotected .","Exaggeration-Minimisation,Loaded_Language"
765385479,8,"i know julian assange well ; i regard he as a close friend , a person of extraordinary resilience and courage . i have watch a tsunami of lie and smear engulf he , endlessly , vindictively , perfidiously ; and i know why they smear he .","Exaggeration-Minimisation,Loaded_Language,Name_Calling-Labeling"
765385479,10,"this would be achieve , they write , with threat of "" exposure [ and ] criminal prosecution "" and a unrelenting assault on reputation . the aim be to silence and criminalise wikileaks and its editor and publisher . it be as if they plan a war on a single human being and on the very principle of freedom of speech .","Exaggeration-Minimisation,Loaded_Language"
765385479,12,their main weapon would be personal smear . their shock troop would be enlist in the medium — those who be mean to keep the record straight and tell we the truth .,"Loaded_Language,Name_Calling-Labeling"
765385479,13,the irony be that no one tell these journalist what to do . i call they vichy journalist — after the vichy government that serve and enable the german occupation of wartime france .,"Guilt_by_Association,Name_Calling-Labeling"
765385479,14,"last october , the australian broadcasting corporation journalist sarah ferguson interview hillary clinton , over whom she fawn as "" the icon for your generation "" .","Loaded_Language,Name_Calling-Labeling"
765385479,15,"this be the same clinton who threaten to "" obliterate totally "" iran and , who , as u.s. secretary of state in 2011 , be one of the instigator of the invasion and destruction of libya as a modern state , with the loss of 40,000 life . like the invasion of iraq , it be base on lie .","Doubt,Loaded_Language,Name_Calling-Labeling"
765385479,16,"when the libyan president be murder publicly and gruesomely with a knife , clinton be film whooping and cheering . thank largely to she , libya become a breeding ground for isis and other jihadist . thank largely to she , ten of thousand of refugee flee in peril across the mediterranean , and many drown .","Doubt,Loaded_Language,Name_Calling-Labeling"
765385479,19,"as secretary of state , clinton approve the big arm sale ever — worth $ 80 billion — to saudi arabia , one of her foundation ’s principal benefactor . today , saudi arabia be use these weapon to crush starving and stricken people in a genocidal assault on yemen .","Exaggeration-Minimisation,Loaded_Language"
765385479,20,"sarah ferguson , a highly pay reporter , raise not a word of this with hillary clinton sit in front of she .",Name_Calling-Labeling
765385479,21,"instead , she invite clinton to describe the "" damage "" julian assange do "" personally to you "" . in response , clinton defame assange , an australian citizen , as "" very clearly a tool of russian intelligence "" and "" a nihilistic opportunist who do the bidding of a dictator "" .","Flag_Waving,Loaded_Language,Name_Calling-Labeling"
765385479,22,she offer no evidence — nor be ask for any — to back her grave allegation .,"Doubt,Loaded_Language"
765385479,23,"at no time be assange offer the right of reply to this shocking interview , which australia ’s publicly - fund state broadcaster have a duty to give he .",Loaded_Language
765385479,24,"as if that be not enough , ferguson ’s executive producer , sally neighour , follow the interview with a vicious re - tweet : "" assange be putin ’s bitch . we all know it ! ""","Exaggeration-Minimisation,Loaded_Language,Name_Calling-Labeling"
765385479,25,"there be many other example of vichy journalism . the guardian , reputedly once a great liberal newspaper , conduct a vendetta against julian assange . like a spurn lover , the guardian aim its personal , petty , inhuman and craven attack at a man whose work it once publish and profit from . the wikileaks files : t ... wikileaks best price : $ 2.50 buy new $ 7.00 ( as of 05:50 edt - details )","Appeal_to_Hypocrisy,Loaded_Language,Name_Calling-Labeling,Red_Herring"
765385479,26,"the former editor of the guardian , alan rusbridger , call the wikileaks disclosure , which his newspaper publish in 2010 , "" one of the great journalistic scoop of the last 30 year "" . award be lavish and celebrate as if julian assange do not exist .",Exaggeration-Minimisation
765385479,28,"wikileak ’ revelation become part of the guardian ’s marketing plan to raise the paper ’s cover price . they make money , often big money , while wikileaks and assange struggle to survive . with not a penny go to wikileaks , a hyped guardian book lead to a lucrative hollywood movie deal . the book ’s author , luke harding and david leigh , gratuitously abuse assange as a "" damage personality "" and "" callous "" .","Exaggeration-Minimisation,Loaded_Language,Name_Calling-Labeling"
765385479,30,"with assange now trap in the ecuadorean embassy , harding , who have enrich himself on the back of both julian assange and edward snowden , stand among the police outside the embassy and gloat on his blog that "" scotland yard may get the last laugh "" .",Loaded_Language
765385479,32,julian assange have commit no crime . he have never be charge with a crime . the swedish episode be bogus and farcical and he have be vindicate .,Loaded_Language
765385479,33,"katrin axelsson and lisa longstaff of women against rape sum it up when they write , "" the allegation against [ assange ] be a smokescreen behind which a number of government be try to clamp down on wikileaks for having audaciously reveal to the public their secret planning of war and occupation with their attendant rape , murder and destruction … the authority care so little about violence against woman that they manipulate rape allegation at will . ""","Causal_Oversimplification,Loaded_Language"
765385479,34,this truth be lose or bury in a medium witch - hunt that disgracefully associate assange with rape and misogyny . the witch - hunt include voice who describe themselves as on the left and as feminist . they willfully ignore the evidence of extreme danger should assange be extradite to the united states .,"Exaggeration-Minimisation,Loaded_Language"
765385479,35,"accord to a document release by edward snowden , assange be on a "" manhunt target list "" . one leak official memo say : "" assange be go to make a nice bride in prison . screw the terrorist . he ’ll be eat cat food forever . ""","Loaded_Language,Name_Calling-Labeling"
765385479,36,"in alexandra , virginia – the suburban home of america ’s war - make elite — a secret grand jury , a throwback to the middle age — have spend seven year try to concoct a crime for which assange can be prosecute .",Name_Calling-Labeling
765385479,39,"no investigative journalism in my lifetime can equal the importance of what wikileaks have do in call rapacious power to account . it be as if a one - way moral screen have be push back to expose the imperialism of liberal democracy : the commitment to endless warfare and the division and degradation of "" unworthy "" life : from grenfell tower to gaza .","Exaggeration-Minimisation,Loaded_Language"
765385479,40,"when harold pinter accept the nobel prize for literature in 2005 , he refer to "" a vast tapestry of lie up on which we feed "" . he ask why "" the systematic brutality , the widespread atrocity , the ruthless suppression of independent thought "" of the soviet union be well know in the west while america ’s imperial crime "" never happen … even while [ they ] be happen , they never happen . "" no place to hide : edwa ... glenn greenwald best price : $ 1.49 buy new $ 3.70 ( as of 06:30 edt - details )","Appeal_to_Hypocrisy,Loaded_Language"
765385479,41,"in its revelation of fraudulent war ( afghanistan , iraq ) and the bald - faced lie of government ( the chagos islands ) , wikileaks have allow we to glimpse how the imperial game be play in the 21st century . that be why assange be in mortal danger .","Exaggeration-Minimisation,Loaded_Language"
765385479,44,"the prime minister of australia be then julia gillard , a labor party politician who have declare wikileaks "" illegal "" and want to cancel assange ’s passport — until she be tell she could not do this : that assange have commit no crime : that wikileaks be a publisher , whose work be protect under article 19 of the universal declaration of human rights , to which australia be one of the original signatory .",Doubt
765385479,45,"in abandon assange , an australian citizen , and collude in his persecution , prime minister gillard ’s outrageous behaviour force the issue of his recognition , under international law , as a political refugee whose life be at risk . ecuador invoke the 1951 convention and grant assange refuge in its embassy in london .","Loaded_Language,Repetition"
765385479,46,gillard have recently be appear in a gig with hillary clinton ; they be bill as pioneer feminist .,Name_Calling-Labeling
765385479,47,"if there be anything to remember gillard by , it a warmongere , sycophantic , embarrassing speech she make to the us congress soon after she demand the illegal cancellation of julian ’s passport .",Loaded_Language
765385479,50,"malcolm turnbull can remain silent . or he can seize this opportunity and use his government ’s diplomatic influence to defend the life of an australian citizen , whose courageous public service be recognise by countless people across the world . he can bring julian assange home .","Appeal_to_Fear-Prejudice,Exaggeration-Minimisation,Flag_Waving"
706777811,1,black death : ' it ’ 100 % likely ' it spread to the uk and a ' tick time bomb ' ready to decimate the world,Name_Calling-Labeling
706777811,4,"the plague death toll have now show sign that it ’s pick up speed again . official figure reveal 165 people have now lose their life in madagascar ’s "" bad outbreak in 50 year . "" recent datum show a 15 percent jump in fatality over just three day , couple with scientist concern that the black death have reach a "" crisis "" point . ten other african country have also be place on high alert , warn that an outbreak could occur at any time .","Appeal_to_Authority,Appeal_to_Fear-Prejudice,Loaded_Language"
